cueverse_id,player_id,account_id,preferred_name,seasons_in_archive,first_season,last_season,status
uslander@sbcglobal.net,cmt4v9z9q000r6rik9niawycx,5184,uslander@sbcglobal.net,6,2006 S3A,2008 S3B,active
im.sicc,cmt4v9zci000s6rik5ydg63kh,5185,im.sicc,2,2006 S3A,2006 S3B,active
xxunitedbabexx,cmt4v9zfh000t6rikcbjavbcz,5186,xxunitedbabexx,1,2006 S4B,2006 S4B,active
mon_e_hoopz,cmt4v9zi6000u6rikkk60dmi0,5187,mon_e_hoopz,1,2006 S4B,2006 S4B,active
xxxxx_rudeboy_xxxxx,cmt4v9zkk000v6rikurwchpgw,5188,xxxxx_rudeboy_xxxxx,1,2006 S4B,2006 S4B,active
outlaw_joker,cmt4v9zmy000w6rikulnqe09d,5189,outlaw_joker,2,2006 S4B,2006 S5A,active
_air16_,cmt4v9zpc000x6rikwgxv1xjc,5190,_air16_,1,2006 S4B,2006 S4B,active
plmp_j0ker,cmt4v9zrq000y6rik0orudyno,5191,plmp_j0ker,1,2006 S4B,2006 S4B,active
pillow.drool,cmt4v9zu3000z6rik14sy02ft,5192,pillow.drool,1,2006 S4B,2006 S4B,active
that_nikka_dwight,cmt4v9zwe00106rikv5x3dve2,5193,that_nikka_dwight,1,2006 S4B,2006 S4B,active
iceflamesunstar,cmt4v9zyr00116rikmljzeua0,5194,iceflamesunstar,1,2006 S4B,2006 S4B,active
meucci.master,cmt4va01400126rik5njern1h,5195,meucci.master,2,2006 S4B,2006 S5A,active
r0ckst4r,cmt4va03h00136riknsaad0mi,5196,r0ckst4r,1,2006 S4B,2006 S4B,active
fart_hard,cmt4va05y00146rik27xgzm19,5197,fart_hard,1,2006 S4B,2006 S4B,active
nigga_nav_is_here,cmt4va08e00156rik7c9ocw9t,5198,nigga_nav_is_here,1,2006 S4B,2006 S4B,active
xxxx_eyad_xxxx,cmt4va0al00166rikzpfymngh,5199,xxxx_eyad_xxxx,3,2006 S4B,2006 S7B,active
mrdontplay58,cmt4va0cv00176rikun28u2gg,5200,mrdontplay58,2,2006 S4B,2006 S5B,active
l_dope_boi_magic_l,cmt4va0fb00186rik6yp28rvg,5201,l_dope_boi_magic_l,1,2006 S4B,2006 S4B,active
xx_xx_nemesis_xx_xx,cmt4va0ib00196rikx4ycs1j0,5202,xx_xx_nemesis_xx_xx,1,2006 S4B,2006 S4B,active
x_j_e_r_e_m_y,cmt4va0l6001a6rikp4n1imy9,5203,x_j_e_r_e_m_y,1,2006 S4B,2006 S4B,active
cold_blooded_banger,cmt4va0nj001b6rikn8urz9qd,5204,cold_blooded_banger,1,2006 S4B,2006 S4B,active
reb0rn_soul,cmt4va0q1001c6rikfp1s9hpl,5205,reb0rn_soul,1,2006 S4B,2006 S4B,active
retired.player,cmt4va0sh001d6rik714vpps9,5206,retired.player,1,2006 S4B,2006 S4B,active
ste.1981,cmt4va0uu001e6rik2a9ivypf,5207,ste.1981,4,2006 S4B,2006 S7B,active
0.z@sbcglobal.net,cmt4va0x5001f6rikvg3wv4lc,5208,0.z@sbcglobal.net,2,2006 S4B,2006 S5A,active
xvx_zero_prodigy_xvx,cmt4va0zg001g6rikgrtneikt,5209,xvx_zero_prodigy_xvx,1,2006 S4B,2006 S4B,active
nakash.qamar,cmt4va11p001h6rik98ltz2al,5210,nakash.qamar,1,2006 S4B,2006 S4B,active
deepankar_mukherkee,cmt4va141001i6rikwa9pjtlb,5211,deepankar_mukherkee,1,2006 S4B,2006 S4B,active
l_masterpiece_l,cmt4va16e001j6rikk0tcxyi6,5212,l_masterpiece_l,1,2006 S4B,2006 S4B,active
aka_l3ells,cmt4va18t001k6rik00vn3ope,5213,aka_l3ells,4,2006 S4B,2008 S2B,active
sicc_poolers,cmt4va1b4001l6riku4v2gm2j,5214,sicc_poolers,1,2006 S5B,2006 S5B,active
mpp.hussla,cmt4va1dh001m6rikj90zx8io,5215,mpp.hussla,1,2006 S5B,2006 S5B,active
l_mcgrady_l,cmt4va1fv001n6rikntsxvva3,5216,l_mcgrady_l,4,2006 S5B,2007 S2B,active
petez_chic,cmt4va1i6001o6rikqhimomhq,5217,petez_chic,1,2006 S5B,2006 S5B,active
drag0n.sl4yer,cmt4va1kk001p6rik2wd1j1ap,5218,drag0n.sl4yer,1,2006 S5B,2006 S5B,active
krazy_kevy,cmt4va1my001q6rikf1yyailc,5219,krazy_kevy,3,2006 S5B,2006 S7A,active
uconnhuskiefan21,cmt4va1pd001r6rik353cnxkh,5220,uconnhuskiefan21,2,2006 S5B,2006 S6B,active
flash_the_legend,cmt4va1ro001s6rik1r7t8no9,5221,flash_the_legend,1,2006 S5B,2006 S5B,active
sicc.goddess,cmt4va1tz001t6riku5o77tcl,5222,sicc.goddess,2,2006 S5B,2006 S6B,active
the_ppl_show,cmt4va1wc001u6riktboo91ej,5223,the_ppl_show,1,2006 S5B,2006 S5B,active
aamazingplaayer,cmt4va1yp001v6riknsk1blkv,5224,aamazingplaayer,1,2006 S5B,2006 S5B,active
s0nic_s0ul,cmt4va212001w6riklyjdxmp2,5225,s0nic_s0ul,1,2006 S5B,2006 S5B,active
big.pimpin2014,cmt4va23c001x6rikjsczv0lw,5226,big.pimpin2014,1,2006 S5B,2006 S5B,active
l2avenclaw,cmt4va260001y6rikofixuuth,5227,l2avenclaw,1,2006 S5B,2006 S5B,active
qop_daisy,cmt4va28k001z6rikz24h9r8e,5228,qop_daisy,3,2006 S5B,2007 S5B,active
xlx_ukpoolgod_xlx,cmt4va2b000206rikh4es7ua5,5229,xlx_ukpoolgod_xlx,1,2006 S5B,2006 S5B,active
jsu4202,cmt4va2dc00216rikn6tmk3xz,5230,jsu4202,4,2006 S5B,2007 S2B,active
motown.champion,cmt4va2fq00226rik2nrtwyx0,5231,motown.champion,10,2006 S5B,2012 S3A,active
u.2@sbcglobal.net,cmt4va2i400236rikq905clf1,5232,u.2@sbcglobal.net,1,2006 S5B,2006 S5B,active
cha0tic_01,cmt4va2kf00246rikyivmt4dg,5233,cha0tic_01,4,2006 S5B,2012 S3B,active
lx_mpp_hussla_xl,cmt4va2mp00256rikeflw5aut,5234,lx_mpp_hussla_xl,1,2006 S6B,2006 S6B,active
mrs_camtasia,cmt4va2p000266riksd0c5x0d,5235,mrs_camtasia,1,2006 S6B,2006 S6B,active
c_l2_a_l_g,cmt4va2rp00276riko771hqq1,5236,c_l2_a_l_g,6,2006 S5A,2007 S6A,active
d.aymo,cmt4va2u100286rikmwmdzrep,5237,d.aymo,1,2006 S6B,2006 S6B,active
dev_da.legend,cmt4va2wg00296riks1um7ze2,5238,dev_da.legend,2,2006 S6B,2006 S7B,active
rum.punch,cmt4va2yt002a6rikc3otzyns,5239,rum.punch,1,2006 S6B,2006 S6B,active
king.nathan,cmt4va315002b6rikbpqgu7no,5240,king.nathan,1,2006 S6B,2006 S6B,active
devilstature_x,cmt4va33j002c6riksw19fn0a,5241,devilstature_x,1,2006 S6B,2006 S6B,active
kerryanne19611,cmt4va361002d6rikayyx1645,5242,kerryanne19611,1,2006 S6B,2006 S6B,active
xx_ima_ruff_ryder_xx,cmt4va38g002e6riki936zzhg,5243,xx_ima_ruff_ryder_xx,2,2006 S6B,2006 S7B,active
x_q_ball_x,cmt4va3ar002f6riks10yrx9r,5244,x_q_ball_x,1,2006 S6B,2006 S6B,active
king_lvlatt,cmt4va3d0002g6rikawt0ui7l,5245,king_lvlatt,1,2006 S6B,2006 S6B,active
xsmoke.dogx,cmt4va3fb002h6rik0m6ml9sl,5246,xsmoke.dogx,1,2006 S6B,2006 S6B,active
choke_king_jerm,cmt4va3hq002i6rikinzr9k05,5247,choke_king_jerm,1,2006 S6B,2006 S6B,active
stihl.066magnum,cmt4va3k3002j6rikitj6pcoj,5248,stihl.066magnum,1,2006 S6B,2006 S6B,active
x_sicc_x,cmt4va3mn002k6rikvk7ea6wy,5249,x_sicc_x,3,2006 S6B,2007 S2B,active
rps.pimp,cmt4va3p2002l6rik006hhg41,5250,rps.pimp,1,2006 S6B,2006 S6B,active
korben555,cmt4va3rg002m6rikmch8dpg0,5251,korben555,3,2006 S6B,2007 S2B,active
silly_billy_gumdrops,cmt4va3tt002n6riklg0qop6z,5252,silly_billy_gumdrops,1,2006 S6B,2006 S6B,active
curtis.brannan,cmt4va3w7002o6riks2qdgzdj,5253,curtis.brannan,1,2006 S6B,2006 S6B,active
artic.wraith,cmt4va3yn002p6rikxssv82c1,5254,artic.wraith,1,2006 S6B,2006 S6B,active
wicked.strawberry,cmt4va40y002q6rikk5qonywv,5255,wicked.strawberry,1,2006 S6B,2006 S6B,active
xllx_q_stix_xllx,cmt4va439002r6rikofjbxmi6,5256,xllx_q_stix_xllx,1,2006 S6B,2006 S6B,active
xxx_sa_t_an_xxx,cmt4va45t002s6rikjem7ip4e,5257,xxx_sa_t_an_xxx,2,2006 S7B,2007 S1B,active
s_t_e_v_i_e_wins,cmt4va48d002t6rikvg0web5v,5258,s_t_e_v_i_e_wins,1,2006 S7B,2006 S7B,active
stonesy_plp,cmt4va4aq002u6rikvr8uzpij,5259,stonesy_plp,3,2006 S7B,2007 S2B,active
d.aym0,cmt4va4d2002v6rikkl4u4tp9,5260,d.aym0,1,2006 S7B,2006 S7B,active
kid_cardiff,cmt4va4fm002w6riki0vssnmc,5261,kid_cardiff,4,2006 S7B,2007 S3B,active
king_of_5,cmt4va4i1002x6rikhb32r33d,5262,king_of_5,1,2006 S7B,2006 S7B,active
bar.wars,cmt4va4kf002y6rikpv5r4j1s,5263,bar.wars,1,2006 S7B,2006 S7B,active
_dbest,cmt4va4mr002z6rik2dpxze4f,5264,_dbest,1,2006 S7B,2006 S7B,active
playhard_,cmt4va4p400306rikonydoguc,5265,playhard_,6,2006 S7B,2007 S6B,active
whor1sh,cmt4va4rh00316rikfvrit0dn,5266,whor1sh,1,2006 S7B,2006 S7B,active
strawberry.goddess,cmt4va4u200326rikj1fdxiwe,5267,strawberry.goddess,1,2006 S7B,2006 S7B,active
xph_hussla,cmt4va4wc00336rikqcpy873z,5268,xph_hussla,1,2006 S7B,2006 S7B,active
babygirl.annie,cmt4va4yl00346riknp3lg4j6,5269,babygirl.annie,1,2006 S7B,2006 S7B,active
so_wolf_cub4,cmt4va50w00356rikwzm3s12s,5270,so_wolf_cub4,7,2006 S7B,2011 S5B,active
noobtastic_aimer,cmt4va53a00366rikw4sj4ai8,5271,noobtastic_aimer,1,2006 S7B,2006 S7B,active
four.tvventy,cmt4va55k00376rikvjs134sm,5272,four.tvventy,1,2006 S7B,2006 S7B,active
pimp.tactics,cmt4va57y00386rikj1k4ohbj,5273,pimp.tactics,1,2006 S7B,2006 S7B,active
xlx_llvlloney_llvllaker_xlx,cmt4va5af00396rik52p1a5rd,5274,xlx_llvlloney_llvllaker_xlx,1,2006 S7B,2006 S7B,active
mld_koralito_mld,cmt4va5cr003a6rik3q0bguyr,5275,mld_koralito_mld,2,2006 S7B,2007 S1B,active
canadian_pool_stud,cmt4va5f8003b6rik8x86a15u,5276,canadian_pool_stud,3,2006 S7B,2007 S2B,active
m_i_i_l_e_n_n_i_u_m,cmt4va5hm003c6rik97is58x0,5277,m_i_i_l_e_n_n_i_u_m,1,2006 S7B,2006 S7B,active
godly_dwight,cmt4va5k8003d6rikxh6r7y1k,5278,godly_dwight,1,2006 S7B,2006 S7B,active
cool_combos,cmt4va5ml003e6rik29ydedpw,5279,cool_combos,7,2006 S5A,2011 S4B,active
l3itch.slap,cmt4va5p1003f6rik2hfiwnpc,5280,l3itch.slap,2,2006 S7B,2007 S1B,active
mrs.isux,cmt4va5r8003g6riklrg7899l,5281,mrs.isux,1,2006 S7B,2006 S7B,active
pabloxx,cmt4va5td003h6rikhjzgrrk6,5282,pabloxx,2,2006 S7B,2007 S1B,active
s_m_oo_t_h,cmt4va5vk003i6rik2ui3u075,5283,s_m_oo_t_h,1,2006 S7B,2006 S7B,active
dahstroy,cmt4va5xt003j6rik8yur9zbj,5284,dahstroy,1,2006 S7B,2006 S7B,active
ll_lvlagician_of_six_cords_ll,cmt4va605003k6riksyq2xaf9,5285,ll_lvlagician_of_six_cords_ll,1,2006 S7B,2006 S7B,active
x_majik_shots_x,cmt4va62m003l6rik9dmd9485,5286,x_majik_shots_x,4,2006 S7B,2007 S3A,active
g.aary,cmt4va650003m6rikbf0ua05k,5287,g.aary,1,2007 S1B,2007 S1B,active
pro.logik,cmt4va67e003n6rikshf646tx,5288,pro.logik,1,2007 S1B,2007 S1B,active
ugurized,cmt4va69n003o6rik3dqf9zd6,5289,ugurized,3,2007 S1B,2009 S1B,active
prettyazz,cmt4va6c0003p6rik7xh8uufc,5290,prettyazz,1,2007 S1B,2007 S1B,active
xlx_kevski_xlx,cmt4va6e7003q6rikilkfkx7r,5291,xlx_kevski_xlx,1,2007 S1B,2007 S1B,active
eyes_of_sin,cmt4va6gh003r6rikyd03o6zi,5292,eyes_of_sin,2,2007 S1B,2007 S2B,active
maldito_0z,cmt4va6is003s6riklytdw04v,5293,maldito_0z,6,2006 S6A,2007 S4B,active
littleolemeinsc,cmt4va6l0003t6rik600diig8,5294,littleolemeinsc,1,2007 S1B,2007 S1B,active
the_dominican_agent,cmt4va6na003u6rike0k1d9jr,5295,the_dominican_agent,1,2007 S1B,2007 S1B,active
chao_tactic,cmt4va6pk003v6riksw3ibrqs,5296,chao_tactic,1,2007 S1B,2007 S1B,active
mister_grimmm,cmt4va6rw003w6rikw4jsi3f6,5297,mister_grimmm,1,2007 S1B,2007 S1B,active
ooo_mad_hatter_ooo,cmt4va6u7003x6rik7rew7cl5,5298,ooo_mad_hatter_ooo,1,2007 S1B,2007 S1B,active
ludicrous.pool,cmt4va6wj003y6rik7qbka2b5,5299,ludicrous.pool,4,2007 S1B,2008 S1B,active
m_e_t_a_4,cmt4va6yx003z6rik35y1bpo4,5300,m_e_t_a_4,1,2007 S1B,2007 S1B,active
x.aimer,cmt4va71c00406rik2zkofzkw,5301,x.aimer,1,2007 S1B,2007 S1B,active
d_e_m_o_l_i_s_h_e_d,cmt4va73p00416rikn65cjofz,5302,d_e_m_o_l_i_s_h_e_d,1,2007 S1B,2007 S1B,active
ch0ke_artist,cmt4va76400426rikue9ndg7r,5303,ch0ke_artist,1,2007 S1B,2007 S1B,active
xxxsicc.poolerxxx,cmt4va78h00436rikchdyom4w,5304,xxxsicc.poolerxxx,1,2007 S1B,2007 S1B,active
x_combos_x,cmt4va7b000446riko68kabk4,5305,x_combos_x,1,2007 S1B,2007 S1B,active
sweeet_femail,cmt4va7da00456rikhdzsk39b,5306,sweeet_femail,2,2007 S1B,2007 S2B,active
scottish.king,cmt4va7fq00466riku7rtddal,5307,scottish.king,2,2007 S1B,2007 S2B,active
ckp_mafia_boss,cmt4va7i600476rik8rtc4nco,5308,ckp_mafia_boss,1,2007 S1B,2007 S1B,active
xlx_ketan_xlx,cmt4va7kw00486rik3d9xrege,5309,xlx_ketan_xlx,3,2007 S1B,2007 S3A,active
kevin_99,cmt4va7nd00496rik2yz9owkh,5310,kevin_99,3,2007 S1B,2007 S3B,active
skillz_en_burg,cmt4va7pp004a6rik72r3am86,5311,skillz_en_burg,1,2007 S1B,2007 S1B,active
anti_hero_69,cmt4va7s8004b6rik3ppipvhr,5312,anti_hero_69,1,2007 S1B,2007 S1B,active
wilderyj,cmt4va7ul004c6rikaroupjb4,5313,wilderyj,1,2007 S1B,2007 S1B,active
mld_g0ku_z_mld.enet,cmt4va7wx004d6riknjd4nwz9,5314,mld_g0ku_z_mld.enet,2,2007 S1B,2007 S4B,active
shook3n,cmt4va7z5004e6rikjjzfhqty,5315,shook3n,1,2007 S1B,2007 S1B,active
xx_sun.shine_xx,cmt4va81i004f6rik6f909a4v,5316,xx_sun.shine_xx,1,2007 S1B,2007 S1B,active
quixotic_legend,cmt4va83u004g6rikbj8q74x1,5317,quixotic_legend,1,2007 S1B,2007 S1B,active
miiiikey,cmt4va864004h6rike818e3yc,5318,miiiikey,1,2007 S1B,2007 S1B,active
want-some-now,cmt4va88e004i6rikh0mergtz,5319,want-some-now,1,2007 S1B,2007 S1B,active
lxl_jerm_lxl,cmt4va8av004j6rika0aw5vkf,5320,lxl_jerm_lxl,1,2007 S2B,2007 S2B,active
mackdaddyc,cmt4va8dg004k6rikki6kr5ai,5321,mackdaddyc,1,2007 S2B,2007 S2B,active
c_l_i_n_c_h_e_r,cmt4va8g3004l6rikuywobnb1,5322,c_l_i_n_c_h_e_r,1,2007 S2B,2007 S2B,active
n0b0dy_,cmt4va8il004m6rikxd7p869l,5323,n0b0dy_,1,2007 S2B,2007 S2B,active
illuder,cmt4va8l0004n6rik5zgzjmsk,5324,illuder,2,2007 S2B,2007 S3B,active
xxx_kevincopan_xxx,cmt4va8nb004o6rik3fh9iq86,5325,xxx_kevincopan_xxx,1,2007 S2B,2007 S2B,active
divine_threat,cmt4va8po004p6rikp7qn48or,5326,divine_threat,2,2007 S2B,2007 S3B,active
canadian_beer,cmt4va8rx004q6riktahss8if,5327,canadian_beer,1,2007 S2B,2007 S2B,active
xllx_r_y_a_n_xllx,cmt4va8u7004r6rik5iywkpzm,5328,xllx_r_y_a_n_xllx,2,2007 S2B,2007 S3B,active
xx_chy_xx,cmt4va8wh004s6rik4cs9wbtl,5329,xx_chy_xx,1,2007 S2B,2007 S2B,active
kfc_australia,cmt4va8yq004t6rikfl5gdz7b,5330,kfc_australia,1,2007 S2B,2007 S2B,active
bank.machine,cmt4va90w004u6rikvav0dkw0,5331,bank.machine,2,2007 S2B,2007 S3B,active
demo.lish,cmt4va934004v6riktgsqaedh,5332,demo.lish,2,2007 S2B,2007 S3A,active
texas.aimer,cmt4va95e004w6rik3lx3jdg2,5333,texas.aimer,2,2007 S2B,2007 S3B,active
mikey_b2,cmt4va97n004x6rikf1qgia9f,5334,mikey_b2,1,2007 S2B,2007 S2B,active
jimbob8690,cmt4va9a0004y6rikffjr495o,5335,jimbob8690,2,2007 S2B,2007 S3B,active
o0_spunkyy_0o,cmt4va9c8004z6rikm1j8q6vx,5336,o0_spunkyy_0o,3,2007 S2B,2007 S4B,active
x_daquiet_storm_x,cmt4va9eg00506rik51wcrs46,5337,x_daquiet_storm_x,1,2007 S2B,2007 S2B,active
angilz,cmt4va9go00516rikcoi0ohoq,5338,angilz,1,2007 S3B,2007 S3B,active
n_u_b_c_a_k_e,cmt4va9iw00526riktp9stykh,5339,n_u_b_c_a_k_e,2,2007 S3B,2007 S4B,active
master_pablo_1,cmt4va9l300536rik948tsm5c,5340,master_pablo_1,1,2007 S3B,2007 S3B,active
fullpr0of,cmt4va9nh00546rik377jzphe,5341,fullpr0of,1,2007 S3B,2007 S3B,active
pr0.mark,cmt4va9pv00556rikqi5g8fav,5342,pr0.mark,1,2007 S3B,2007 S3B,active
uk_owned,cmt4va9s600566rik66d1ab3d,5343,uk_owned,1,2007 S3B,2007 S3B,active
prettywellhung_,cmt4va9ui00576rik139zu620,5344,prettywellhung_,1,2007 S3B,2007 S3B,active
eazy_0wnage,cmt4va9wt00586rikdz5zv5fi,5345,eazy_0wnage,4,2007 S3B,2007 S6B,active
six_foot_180lbs,cmt4va9z100596rik1fyc6osr,5346,six_foot_180lbs,2,2007 S3B,2007 S4B,active
spas.matic,cmt4vaa1c005a6rikiavuqqha,5347,spas.matic,1,2007 S3B,2007 S3B,active
sexy.choker,cmt4vaa3o005b6rik42oecn95,5348,sexy.choker,3,2007 S3B,2008 S1B,active
x_bj.babe_x,cmt4vaa5u005c6rik9n2txffq,5349,x_bj.babe_x,2,2007 S3B,2007 S4B,active
ll_k0rb3n_ll,cmt4vaa81005d6rikvj337381,5350,ll_k0rb3n_ll,6,2007 S2B,2008 S5B,active
legend_on_the_lanes,cmt4vaaac005e6rikzygug4sl,5351,legend_on_the_lanes,1,2007 S3B,2007 S3B,active
dirge_of_cubby,cmt4vaaco005f6rikdppuv5f0,5352,dirge_of_cubby,2,2007 S4B,2007 S5B,active
jeannal1cious,cmt4vaaez005g6rik8fzhtmi9,5353,jeannal1cious,1,2007 S4B,2007 S4B,active
lvlike_8br,cmt4vaahb005h6rik4ww63gnk,5354,lvlike_8br,2,2007 S4B,2008 S1A,active
all.attitude,cmt4vaajq005i6rikkt88572f,5355,all.attitude,1,2007 S4B,2007 S4B,active
