group_id,season_id,division,group_letter,score_model
2006-s6-B-GD,2006-s6,B,D,set-scores
2006-s6-B-GE,2006-s6,B,E,set-scores
2006-s7-A-GA,2006-s7,A,A,set-scores
2006-s7-A-GB,2006-s7,A,B,set-scores
2006-s7-A-GC,2006-s7,A,C,set-scores
2006-s7-A-GD,2006-s7,A,D,set-scores
2006-s7-A-GE,2006-s7,A,E,set-scores
2006-s7-A-GF,2006-s7,A,F,set-scores
2006-s7-A-GG,2006-s7,A,G,set-scores
2006-s7-A-GH,2006-s7,A,H,set-scores
2006-s7-A-GI,2006-s7,A,I,set-scores
2006-s7-A-GJ,2006-s7,A,J,set-scores
2006-s7-A-GK,2006-s7,A,K,set-scores
2006-s7-A-GL,2006-s7,A,L,set-scores
2006-s7-B-GA,2006-s7,B,A,set-scores
2006-s7-B-GB,2006-s7,B,B,set-scores
2006-s7-B-GC,2006-s7,B,C,set-scores
2006-s7-B-GD,2006-s7,B,D,set-scores
2006-s7-B-GE,2006-s7,B,E,set-scores
2006-s7-B-GF,2006-s7,B,F,set-scores
2006-s7-B-GG,2006-s7,B,G,set-scores
2007-s1-A-GA,2007-s1,A,A,games-tally
2007-s1-A-GB,2007-s1,A,B,games-tally
2007-s1-A-GC,2007-s1,A,C,games-tally
2007-s1-A-GD,2007-s1,A,D,games-tally
2007-s1-A-GE,2007-s1,A,E,games-tally
2007-s1-A-GF,2007-s1,A,F,games-tally
2007-s1-A-GG,2007-s1,A,G,games-tally
2007-s1-A-GH,2007-s1,A,H,games-tally
2007-s1-A-GI,2007-s1,A,I,games-tally
2007-s1-B-GA,2007-s1,B,A,games-tally
2007-s1-B-GB,2007-s1,B,B,games-tally
2007-s1-B-GC,2007-s1,B,C,games-tally
2007-s1-B-GD,2007-s1,B,D,games-tally
2007-s1-B-GE,2007-s1,B,E,games-tally
2007-s1-B-GF,2007-s1,B,F,games-tally
2007-s1-B-GG,2007-s1,B,G,games-tally
2007-s1-B-GH,2007-s1,B,H,games-tally
2007-s1-B-GI,2007-s1,B,I,games-tally
2007-s2-A-GA,2007-s2,A,A,set-scores
2007-s2-A-GB,2007-s2,A,B,set-scores
2007-s2-A-GC,2007-s2,A,C,set-scores
2007-s2-A-GD,2007-s2,A,D,set-scores
2007-s2-A-GE,2007-s2,A,E,set-scores
2007-s2-A-GF,2007-s2,A,F,set-scores
2007-s2-A-GG,2007-s2,A,G,set-scores
2007-s2-A-GH,2007-s2,A,H,set-scores
2007-s2-A-GI,2007-s2,A,I,set-scores
2007-s2-B-GA,2007-s2,B,A,set-scores
2007-s2-B-GB,2007-s2,B,B,set-scores
2007-s2-B-GC,2007-s2,B,C,set-scores
2007-s2-B-GD,2007-s2,B,D,set-scores
2007-s2-B-GE,2007-s2,B,E,set-scores
2007-s2-B-GF,2007-s2,B,F,set-scores
2007-s3-A-GA,2007-s3,A,A,set-scores
2007-s3-A-GB,2007-s3,A,B,set-scores
2007-s3-A-GC,2007-s3,A,C,set-scores
2007-s3-A-GD,2007-s3,A,D,set-scores
2007-s3-A-GE,2007-s3,A,E,set-scores
2007-s3-A-GF,2007-s3,A,F,set-scores
2007-s3-A-GG,2007-s3,A,G,set-scores
2007-s3-A-GH,2007-s3,A,H,set-scores
2007-s3-B-GA,2007-s3,B,A,set-scores
2007-s3-B-GB,2007-s3,B,B,set-scores
2007-s3-B-GC,2007-s3,B,C,set-scores
2007-s3-B-GD,2007-s3,B,D,set-scores
2007-s3-B-GE,2007-s3,B,E,set-scores
2007-s3-B-GF,2007-s3,B,F,set-scores
2007-s4-A-GA,2007-s4,A,A,set-scores
2007-s4-A-GB,2007-s4,A,B,set-scores
2007-s4-A-GC,2007-s4,A,C,set-scores
2007-s4-A-GD,2007-s4,A,D,set-scores
2007-s4-A-GE,2007-s4,A,E,set-scores
2007-s4-A-GF,2007-s4,A,F,set-scores
2007-s4-A-GG,2007-s4,A,G,set-scores
2007-s4-A-GH,2007-s4,A,H,set-scores
2007-s4-B-GA,2007-s4,B,A,set-scores
2007-s4-B-GB,2007-s4,B,B,set-scores
2007-s4-B-GC,2007-s4,B,C,set-scores
2007-s4-B-GD,2007-s4,B,D,set-scores
2007-s4-B-GE,2007-s4,B,E,set-scores
2007-s4-B-GF,2007-s4,B,F,set-scores
2007-s4-B-GG,2007-s4,B,G,set-scores
2007-s5-A-GA,2007-s5,A,A,set-scores
2007-s5-A-GB,2007-s5,A,B,set-scores
2007-s5-A-GC,2007-s5,A,C,set-scores
2007-s5-A-GD,2007-s5,A,D,set-scores
2007-s5-A-GE,2007-s5,A,E,set-scores
2007-s5-A-GF,2007-s5,A,F,set-scores
2007-s5-A-GG,2007-s5,A,G,set-scores
2007-s5-B-GA,2007-s5,B,A,set-scores
2007-s5-B-GB,2007-s5,B,B,set-scores
2007-s5-B-GC,2007-s5,B,C,set-scores
2007-s5-B-GD,2007-s5,B,D,set-scores
2007-s5-B-GE,2007-s5,B,E,set-scores
2007-s5-B-GF,2007-s5,B,F,set-scores
2007-s5-B-GG,2007-s5,B,G,set-scores
2007-s5-B-GH,2007-s5,B,H,set-scores
2007-s6-A-GA,2007-s6,A,A,games-tally
2007-s6-A-GB,2007-s6,A,B,games-tally
2007-s6-A-GC,2007-s6,A,C,games-tally
2007-s6-A-GD,2007-s6,A,D,games-tally
2007-s6-A-GE,2007-s6,A,E,games-tally
2007-s6-A-GF,2007-s6,A,F,games-tally
2007-s6-B-GA,2007-s6,B,A,games-tally
2007-s6-B-GB,2007-s6,B,B,games-tally
2007-s6-B-GC,2007-s6,B,C,games-tally
2007-s6-B-GD,2007-s6,B,D,games-tally
2007-s6-B-GE,2007-s6,B,E,games-tally
2007-s6-B-GF,2007-s6,B,F,games-tally
2007-s6-B-GG,2007-s6,B,G,games-tally
2007-s6-B-GH,2007-s6,B,H,games-tally
2008-s1-A-GA,2008-s1,A,A,games-tally
2008-s1-A-GB,2008-s1,A,B,games-tally
2008-s1-A-GC,2008-s1,A,C,games-tally
2008-s1-A-GD,2008-s1,A,D,games-tally
2008-s1-A-GE,2008-s1,A,E,games-tally
2008-s1-A-GF,2008-s1,A,F,games-tally
2008-s1-A-GG,2008-s1,A,G,games-tally
2008-s1-A-GH,2008-s1,A,H,games-tally
2008-s1-A-GI,2008-s1,A,I,games-tally
2008-s1-B-GA,2008-s1,B,A,games-tally
2008-s1-B-GB,2008-s1,B,B,games-tally
2008-s1-B-GC,2008-s1,B,C,games-tally
2008-s1-B-GD,2008-s1,B,D,games-tally
2008-s1-B-GE,2008-s1,B,E,games-tally
2008-s1-B-GF,2008-s1,B,F,games-tally
2008-s1-B-GG,2008-s1,B,G,games-tally
2008-s1-B-GH,2008-s1,B,H,games-tally
2008-s1-B-GI,2008-s1,B,I,games-tally
2008-s2-A-GA,2008-s2,A,A,games-tally
2008-s2-A-GB,2008-s2,A,B,games-tally
2008-s2-A-GC,2008-s2,A,C,games-tally
2008-s2-A-GD,2008-s2,A,D,games-tally
2008-s2-A-GE,2008-s2,A,E,games-tally
2008-s2-A-GF,2008-s2,A,F,games-tally
2008-s2-A-GG,2008-s2,A,G,games-tally
2008-s2-B-GA,2008-s2,B,A,games-tally
2008-s2-B-GB,2008-s2,B,B,games-tally
2008-s2-B-GC,2008-s2,B,C,games-tally
2008-s2-B-GD,2008-s2,B,D,games-tally
2008-s2-B-GE,2008-s2,B,E,games-tally
2008-s2-B-GF,2008-s2,B,F,games-tally
2008-s3-A-GA,2008-s3,A,A,games-tally
2008-s3-A-GB,2008-s3,A,B,games-tally
2008-s3-A-GC,2008-s3,A,C,games-tally
2008-s3-A-GD,2008-s3,A,D,games-tally
2008-s3-A-GE,2008-s3,A,E,games-tally
2008-s3-A-GF,2008-s3,A,F,games-tally
2008-s3-A-GG,2008-s3,A,G,games-tally
2008-s3-B-GA,2008-s3,B,A,games-tally
2008-s3-B-GB,2008-s3,B,B,games-tally
2008-s3-B-GC,2008-s3,B,C,games-tally
2008-s3-B-GD,2008-s3,B,D,games-tally
2008-s3-B-GE,2008-s3,B,E,games-tally
2008-s3-B-GF,2008-s3,B,F,games-tally
2008-s4-A-GA,2008-s4,A,A,games-tally
2008-s4-A-GB,2008-s4,A,B,games-tally
2008-s4-A-GC,2008-s4,A,C,games-tally
2008-s4-A-GD,2008-s4,A,D,games-tally
2008-s4-A-GE,2008-s4,A,E,games-tally
2008-s4-A-GF,2008-s4,A,F,games-tally
2008-s4-A-GG,2008-s4,A,G,games-tally
2008-s4-B-GA,2008-s4,B,A,games-tally
2008-s4-B-GB,2008-s4,B,B,games-tally
2008-s4-B-GC,2008-s4,B,C,games-tally
2008-s4-B-GD,2008-s4,B,D,games-tally
2008-s4-B-GE,2008-s4,B,E,games-tally
2008-s4-B-GF,2008-s4,B,F,games-tally
2008-s5-A-GA,2008-s5,A,A,games-tally
2008-s5-A-GB,2008-s5,A,B,games-tally
2008-s5-A-GC,2008-s5,A,C,games-tally
2008-s5-A-GD,2008-s5,A,D,games-tally
2008-s5-A-GE,2008-s5,A,E,games-tally
2008-s5-A-GF,2008-s5,A,F,games-tally
2008-s5-A-GG,2008-s5,A,G,games-tally
2008-s5-B-GA,2008-s5,B,A,games-tally
2008-s5-B-GB,2008-s5,B,B,games-tally
2008-s5-B-GC,2008-s5,B,C,games-tally
2008-s5-B-GD,2008-s5,B,D,games-tally
2008-s5-B-GE,2008-s5,B,E,games-tally
2008-s5-B-GF,2008-s5,B,F,games-tally
2009-s1-A-GA,2009-s1,A,A,games-tally
2009-s1-A-GB,2009-s1,A,B,games-tally
2009-s1-A-GC,2009-s1,A,C,games-tally
2009-s1-A-GD,2009-s1,A,D,games-tally
2009-s1-A-GE,2009-s1,A,E,games-tally
2009-s1-A-GF,2009-s1,A,F,games-tally
2009-s1-A-GG,2009-s1,A,G,games-tally
2009-s1-A-GH,2009-s1,A,H,games-tally
2009-s1-B-GA,2009-s1,B,A,games-tally
2009-s1-B-GB,2009-s1,B,B,games-tally
2009-s1-B-GC,2009-s1,B,C,games-tally
2009-s1-B-GD,2009-s1,B,D,games-tally
2009-s1-B-GE,2009-s1,B,E,games-tally
2009-s1-B-GF,2009-s1,B,F,games-tally
2009-s2-A-GA,2009-s2,A,A,games-tally
2009-s2-A-GB,2009-s2,A,B,games-tally
2009-s2-A-GC,2009-s2,A,C,games-tally
2009-s2-A-GD,2009-s2,A,D,games-tally
2009-s2-A-GE,2009-s2,A,E,games-tally
2009-s2-A-GF,2009-s2,A,F,games-tally
2009-s2-A-GG,2009-s2,A,G,games-tally
2009-s2-A-GH,2009-s2,A,H,games-tally
2009-s2-B-GA,2009-s2,B,A,games-tally
2009-s2-B-GB,2009-s2,B,B,games-tally
2009-s2-B-GC,2009-s2,B,C,games-tally
2009-s2-B-GD,2009-s2,B,D,games-tally
2009-s2-B-GE,2009-s2,B,E,games-tally
2009-s2-B-GF,2009-s2,B,F,games-tally
2009-s3-A-GA,2009-s3,A,A,games-tally
2009-s3-A-GB,2009-s3,A,B,games-tally
2009-s3-A-GC,2009-s3,A,C,games-tally
2009-s3-A-GD,2009-s3,A,D,games-tally
2009-s3-A-GE,2009-s3,A,E,games-tally
2009-s3-A-GF,2009-s3,A,F,games-tally
2009-s3-A-GG,2009-s3,A,G,games-tally
2009-s3-A-GH,2009-s3,A,H,games-tally
2009-s3-B-GA,2009-s3,B,A,games-tally
2009-s3-B-GB,2009-s3,B,B,games-tally
2009-s3-B-GC,2009-s3,B,C,games-tally
2009-s3-B-GD,2009-s3,B,D,games-tally
2009-s3-B-GE,2009-s3,B,E,games-tally
2009-s3-B-GF,2009-s3,B,F,games-tally
2009-s4-A-GA,2009-s4,A,A,games-tally
2009-s4-A-GB,2009-s4,A,B,games-tally
2009-s4-A-GC,2009-s4,A,C,games-tally
2009-s4-A-GD,2009-s4,A,D,games-tally
2009-s4-A-GE,2009-s4,A,E,games-tally
2009-s4-A-GF,2009-s4,A,F,games-tally
2009-s4-A-GG,2009-s4,A,G,games-tally
2009-s4-A-GH,2009-s4,A,H,games-tally
2009-s4-B-GA,2009-s4,B,A,games-tally
2009-s4-B-GB,2009-s4,B,B,games-tally
2009-s4-B-GC,2009-s4,B,C,games-tally
2009-s4-B-GD,2009-s4,B,D,games-tally
2009-s4-B-GE,2009-s4,B,E,games-tally
2009-s5-B-GF,2009-s5,B,F,games-tally
2009-s6-A-GA,2009-s6,A,A,games-tally
2009-s6-A-GB,2009-s6,A,B,games-tally
2009-s6-A-GC,2009-s6,A,C,games-tally
2009-s6-A-GD,2009-s6,A,D,games-tally
2009-s6-A-GF,2009-s6,A,F,games-tally
2009-s6-A-GG,2009-s6,A,G,games-tally
2009-s6-A-GH,2009-s6,A,H,games-tally
2009-s6-B-GA,2009-s6,B,A,games-tally
2009-s6-B-GB,2009-s6,B,B,games-tally
2009-s6-B-GC,2009-s6,B,C,games-tally
2009-s6-B-GD,2009-s6,B,D,games-tally
2009-s6-B-GE,2009-s6,B,E,games-tally
2009-s6-B-GF,2009-s6,B,F,games-tally
2010-s1-A-GA,2010-s1,A,A,games-tally
2010-s1-A-GB,2010-s1,A,B,games-tally
2010-s1-A-GC,2010-s1,A,C,games-tally
2010-s1-A-GD,2010-s1,A,D,games-tally
2010-s1-A-GE,2010-s1,A,E,games-tally
2010-s1-A-GF,2010-s1,A,F,games-tally
2010-s1-A-GG,2010-s1,A,G,games-tally
2010-s1-A-GH,2010-s1,A,H,games-tally
2010-s1-B-GA,2010-s1,B,A,games-tally
2010-s1-B-GB,2010-s1,B,B,games-tally
2010-s1-B-GC,2010-s1,B,C,games-tally
2010-s1-B-GD,2010-s1,B,D,games-tally
2010-s1-B-GE,2010-s1,B,E,games-tally
2010-s1-B-GF,2010-s1,B,F,games-tally
2010-s2-A-GA,2010-s2,A,A,games-tally
2010-s2-A-GB,2010-s2,A,B,games-tally
2010-s2-A-GC,2010-s2,A,C,games-tally
2010-s2-A-GD,2010-s2,A,D,games-tally
2010-s2-A-GE,2010-s2,A,E,games-tally
2010-s2-A-GF,2010-s2,A,F,games-tally
2010-s2-A-GG,2010-s2,A,G,games-tally
2010-s2-A-GH,2010-s2,A,H,games-tally
2010-s2-B-GA,2010-s2,B,A,games-tally
2010-s2-B-GB,2010-s2,B,B,games-tally
2010-s2-B-GC,2010-s2,B,C,games-tally
2010-s2-B-GD,2010-s2,B,D,games-tally
2010-s2-B-GE,2010-s2,B,E,games-tally
2010-s2-B-GF,2010-s2,B,F,games-tally
2010-s3-A-GA,2010-s3,A,A,games-tally
2010-s3-A-GB,2010-s3,A,B,games-tally
2010-s3-A-GC,2010-s3,A,C,games-tally
2010-s3-A-GD,2010-s3,A,D,games-tally
2010-s3-A-GE,2010-s3,A,E,games-tally
2010-s3-A-GF,2010-s3,A,F,games-tally
2010-s3-A-GG,2010-s3,A,G,games-tally
2010-s3-A-GH,2010-s3,A,H,games-tally
2010-s3-B-GA,2010-s3,B,A,games-tally
2010-s3-B-GB,2010-s3,B,B,games-tally
2010-s3-B-GC,2010-s3,B,C,games-tally
2010-s3-B-GD,2010-s3,B,D,games-tally
2010-s3-B-GE,2010-s3,B,E,games-tally
2010-s3-B-GF,2010-s3,B,F,games-tally
2010-s4-A-GA,2010-s4,A,A,games-tally
2010-s4-A-GB,2010-s4,A,B,games-tally
2010-s4-A-GC,2010-s4,A,C,games-tally
2010-s4-A-GD,2010-s4,A,D,games-tally
2010-s4-A-GE,2010-s4,A,E,games-tally
2010-s4-A-GF,2010-s4,A,F,games-tally
2010-s4-A-GG,2010-s4,A,G,games-tally
2010-s4-A-GH,2010-s4,A,H,games-tally
2010-s4-B-GA,2010-s4,B,A,games-tally
2010-s4-B-GB,2010-s4,B,B,games-tally
2010-s4-B-GC,2010-s4,B,C,games-tally
2010-s4-B-GD,2010-s4,B,D,games-tally
2010-s4-B-GE,2010-s4,B,E,games-tally
2010-s4-B-GF,2010-s4,B,F,games-tally
2011-s1-A-GA,2011-s1,A,A,games-tally
2011-s1-A-GB,2011-s1,A,B,games-tally
2011-s1-A-GC,2011-s1,A,C,games-tally
2011-s1-A-GD,2011-s1,A,D,games-tally
2011-s1-A-GE,2011-s1,A,E,games-tally
2011-s1-A-GF,2011-s1,A,F,games-tally
2011-s1-A-GG,2011-s1,A,G,games-tally
2011-s1-B-GA,2011-s1,B,A,games-tally
2011-s1-B-GB,2011-s1,B,B,games-tally
2011-s1-B-GC,2011-s1,B,C,games-tally
2011-s1-B-GD,2011-s1,B,D,games-tally
2011-s1-B-GE,2011-s1,B,E,games-tally
2011-s1-B-GF,2011-s1,B,F,games-tally
2011-s2-A-GA,2011-s2,A,A,games-tally
2011-s2-A-GB,2011-s2,A,B,games-tally
2011-s2-A-GC,2011-s2,A,C,games-tally
2011-s2-A-GD,2011-s2,A,D,games-tally
2011-s2-A-GE,2011-s2,A,E,games-tally
2011-s2-A-GF,2011-s2,A,F,games-tally
2011-s2-A-GG,2011-s2,A,G,games-tally
2011-s2-B-GA,2011-s2,B,A,games-tally
2011-s2-B-GB,2011-s2,B,B,games-tally
2011-s2-B-GC,2011-s2,B,C,games-tally
2011-s2-B-GD,2011-s2,B,D,games-tally
2011-s2-B-GE,2011-s2,B,E,games-tally
2011-s2-B-GF,2011-s2,B,F,games-tally
2011-s3-A-GA,2011-s3,A,A,games-tally
2011-s3-A-GB,2011-s3,A,B,games-tally
2011-s3-A-GC,2011-s3,A,C,games-tally
2011-s3-A-GD,2011-s3,A,D,games-tally
2011-s3-A-GE,2011-s3,A,E,games-tally
2011-s3-A-GF,2011-s3,A,F,games-tally
2011-s3-A-GG,2011-s3,A,G,games-tally
2011-s3-B-GA,2011-s3,B,A,games-tally
2011-s3-B-GB,2011-s3,B,B,games-tally
2011-s3-B-GC,2011-s3,B,C,games-tally
2011-s3-B-GD,2011-s3,B,D,games-tally
2011-s3-B-GE,2011-s3,B,E,games-tally
2011-s3-B-GF,2011-s3,B,F,games-tally
2011-s4-A-GA,2011-s4,A,A,games-tally
2011-s4-A-GB,2011-s4,A,B,games-tally
2011-s4-A-GC,2011-s4,A,C,games-tally
2011-s4-A-GD,2011-s4,A,D,games-tally
2011-s4-A-GE,2011-s4,A,E,games-tally
2011-s4-A-GF,2011-s4,A,F,games-tally
2011-s4-A-GG,2011-s4,A,G,games-tally
2011-s4-B-GA,2011-s4,B,A,games-tally
2011-s4-B-GB,2011-s4,B,B,games-tally
2011-s4-B-GC,2011-s4,B,C,games-tally
2011-s4-B-GD,2011-s4,B,D,games-tally
2011-s4-B-GE,2011-s4,B,E,games-tally
2011-s4-B-GF,2011-s4,B,F,games-tally
2011-s4-B-GG,2011-s4,B,G,games-tally
2011-s5-A-GA,2011-s5,A,A,games-tally
2011-s5-A-GB,2011-s5,A,B,games-tally
2011-s5-A-GC,2011-s5,A,C,games-tally
2011-s5-A-GD,2011-s5,A,D,games-tally
2011-s5-A-GE,2011-s5,A,E,games-tally
2011-s5-A-GF,2011-s5,A,F,games-tally
2011-s5-A-GG,2011-s5,A,G,games-tally
2011-s5-B-GA,2011-s5,B,A,games-tally
2011-s5-B-GB,2011-s5,B,B,games-tally
2011-s5-B-GC,2011-s5,B,C,games-tally
2011-s5-B-GD,2011-s5,B,D,games-tally
2011-s5-B-GE,2011-s5,B,E,games-tally
2011-s5-B-GF,2011-s5,B,F,games-tally
2012-s1-A-GA,2012-s1,A,A,set-scores
2012-s1-A-GB,2012-s1,A,B,set-scores
2012-s1-A-GC,2012-s1,A,C,set-scores
2012-s1-A-GD,2012-s1,A,D,set-scores
2012-s1-A-GE,2012-s1,A,E,set-scores
2012-s1-A-GF,2012-s1,A,F,set-scores
2012-s1-A-GG,2012-s1,A,G,set-scores
2012-s1-B-GA,2012-s1,B,A,set-scores
2012-s1-B-GB,2012-s1,B,B,set-scores
2012-s1-B-GC,2012-s1,B,C,set-scores
2012-s1-B-GD,2012-s1,B,D,set-scores
2012-s1-B-GE,2012-s1,B,E,set-scores
2012-s1-B-GF,2012-s1,B,F,set-scores
2012-s1-B-GG,2012-s1,B,G,set-scores
2012-s2-A-GA,2012-s2,A,A,set-scores
2012-s2-A-GB,2012-s2,A,B,set-scores
2012-s2-A-GC,2012-s2,A,C,set-scores
2012-s2-A-GD,2012-s2,A,D,set-scores
2012-s2-A-GE,2012-s2,A,E,set-scores
2012-s2-A-GF,2012-s2,A,F,set-scores
2012-s2-A-GG,2012-s2,A,G,set-scores
2012-s2-B-GA,2012-s2,B,A,set-scores
2012-s2-B-GB,2012-s2,B,B,set-scores
2012-s2-B-GC,2012-s2,B,C,set-scores
2012-s2-B-GD,2012-s2,B,D,set-scores
2012-s2-B-GE,2012-s2,B,E,set-scores
2012-s2-B-GF,2012-s2,B,F,set-scores
2012-s3-A-GA,2012-s3,A,A,set-scores
2012-s3-A-GB,2012-s3,A,B,set-scores
2012-s3-A-GC,2012-s3,A,C,set-scores
2012-s3-A-GD,2012-s3,A,D,set-scores
2012-s3-A-GE,2012-s3,A,E,set-scores
2012-s3-A-GF,2012-s3,A,F,set-scores
2012-s3-A-GG,2012-s3,A,G,set-scores
2012-s3-B-GA,2012-s3,B,A,set-scores
2012-s3-B-GB,2012-s3,B,B,set-scores
