match_id,playoff_id,season_id,division,round,round_name,match_no,player_a_id,player_b_id,score,winner_id,loser_id
2005-s3-single-PO-R1-M11,2005-s3-single,2005-s3,single,1,Round 1,11,P0080,P0063,,,
2005-s4-single-PO-R1-M1,2005-s4-single,2005-s4,single,1,Round 1,1,P0032,P0090,,,
2005-s4-single-PO-R1-M2,2005-s4-single,2005-s4,single,1,Round 1,2,P0024,P0104,,,
2005-s4-single-PO-R1-M3,2005-s4-single,2005-s4,single,1,Round 1,3,P0138,P0132,,,
2005-s4-single-PO-R1-M4,2005-s4-single,2005-s4,single,1,Round 1,4,P0065,P0075,,,
2005-s4-single-PO-R1-M5,2005-s4-single,2005-s4,single,1,Round 1,5,P0026,P0063,,,
2005-s4-single-PO-R1-M6,2005-s4-single,2005-s4,single,1,Round 1,6,P0089,P0005,,,
2005-s4-single-PO-R1-M7,2005-s4-single,2005-s4,single,1,Round 1,7,P0091,P0094,,,
2005-s4-single-PO-R1-M8,2005-s4-single,2005-s4,single,1,Round 1,8,P0136,P0077,,,
2005-s4-single-PO-R1-M9,2005-s4-single,2005-s4,single,1,Round 1,9,P0076,P0074,,,
2005-s4-single-PO-R1-M10,2005-s4-single,2005-s4,single,1,Round 1,10,P0105,P0123,,,
2005-s4-single-PO-R1-M11,2005-s4-single,2005-s4,single,1,Round 1,11,P0048,P0027,,,
2005-s4-single-PO-R1-M12,2005-s4-single,2005-s4,single,1,Round 1,12,P0124,P0035,,,
2005-s4-single-PO-R1-M13,2005-s4-single,2005-s4,single,1,Round 1,13,P0073,P0042,,,
2005-s4-single-PO-R1-M14,2005-s4-single,2005-s4,single,1,Round 1,14,P0029,P0009,,,
2005-s4-single-PO-R1-M15,2005-s4-single,2005-s4,single,1,Round 1,15,P0059,P0071,,,
2005-s4-single-PO-R1-M16,2005-s4-single,2005-s4,single,1,Round 1,16,P0033,P0002,,,
2005-s4-single-PO-R1-M17,2005-s4-single,2005-s4,single,1,Round 1,17,P0034,P0010,,,
2005-s4-single-PO-R1-M18,2005-s4-single,2005-s4,single,1,Round 1,18,P0133,P0143,,,
2005-s4-single-PO-R1-M19,2005-s4-single,2005-s4,single,1,Round 1,19,P0060,P0140,,,
2005-s4-single-PO-R1-M20,2005-s4-single,2005-s4,single,1,Round 1,20,P0054,P0051,,,
2005-s4-single-PO-R1-M21,2005-s4-single,2005-s4,single,1,Round 1,21,P0017,P0111,,,
2006-s1-A-PO-R1-M1,2006-s1-A,2006-s1,A,1,Round 1,1,P0257,P0060,,,
2006-s1-A-PO-R1-M2,2006-s1-A,2006-s1,A,1,Round 1,2,P0330,P0243,,,
2006-s1-A-PO-R1-M3,2006-s1-A,2006-s1,A,1,Round 1,3,P0362,P0325,,,
2006-s1-A-PO-R1-M4,2006-s1-A,2006-s1,A,1,Round 1,4,P0140,P0238,,,
2006-s1-A-PO-R1-M5,2006-s1-A,2006-s1,A,1,Round 1,5,P0478,P0332,,,
2006-s1-A-PO-R1-M6,2006-s1-A,2006-s1,A,1,Round 1,6,P0053,P0094,,,
2006-s1-A-PO-R1-M7,2006-s1-A,2006-s1,A,1,Round 1,7,P0444,P0410,,,
2006-s1-A-PO-R1-M8,2006-s1-A,2006-s1,A,1,Round 1,8,P0024,P0297,,,
2006-s1-A-PO-R1-M9,2006-s1-A,2006-s1,A,1,Round 1,9,P0258,P0476,,,
2006-s1-A-PO-R1-M10,2006-s1-A,2006-s1,A,1,Round 1,10,P0062,P0334,,,
2006-s1-A-PO-R1-M11,2006-s1-A,2006-s1,A,1,Round 1,11,P0545,P0569,,,
2006-s1-A-PO-R1-M12,2006-s1-A,2006-s1,A,1,Round 1,12,P0316,P0490,,,
2006-s1-A-PO-R1-M13,2006-s1-A,2006-s1,A,1,Round 1,13,P0349,P0196,,,
2006-s1-A-PO-R1-M14,2006-s1-A,2006-s1,A,1,Round 1,14,P0033,P0381,,,
2006-s1-A-PO-R1-M15,2006-s1-A,2006-s1,A,1,Round 1,15,P0017,P0386,,,
2006-s1-A-PO-R1-M16,2006-s1-A,2006-s1,A,1,Round 1,16,P0619,P0073,,,
2006-s1-B-PO-R1-M1,2006-s1-B,2006-s1,B,1,Round 1,1,P0425,P0259,,,
2006-s1-B-PO-R1-M2,2006-s1-B,2006-s1,B,1,Round 1,2,P0502,P0057,,,
2006-s1-B-PO-R1-M3,2006-s1-B,2006-s1,B,1,Round 1,3,P0160,P0088,,,
2006-s1-B-PO-R1-M4,2006-s1-B,2006-s1,B,1,Round 1,4,P0185,P0372,,,
2006-s1-B-PO-R1-M5,2006-s1-B,2006-s1,B,1,Round 1,5,P0443,P0398,,,
2006-s1-B-PO-R1-M6,2006-s1-B,2006-s1,B,1,Round 1,6,P0450,P0231,,,
2006-s1-B-PO-R1-M7,2006-s1-B,2006-s1,B,1,Round 1,7,P0387,P0546,,,
2006-s2-A-PO-R1-M1,2006-s2-A,2006-s2,A,1,Round 1,1,P0033,P0165,,,
2006-s2-A-PO-R1-M2,2006-s2-A,2006-s2,A,1,Round 1,2,P0349,P0029,,,
2006-s2-A-PO-R1-M3,2006-s2-A,2006-s2,A,1,Round 1,3,P0076,P0024,,,
2006-s2-A-PO-R1-M4,2006-s2-A,2006-s2,A,1,Round 1,4,P0226,P0158,,,
2006-s2-A-PO-R1-M5,2006-s2-A,2006-s2,A,1,Round 1,5,P0297,P0077,,,
2006-s2-A-PO-R1-M6,2006-s2-A,2006-s2,A,1,Round 1,6,P0261,P0331,,,
2006-s2-A-PO-R1-M7,2006-s2-A,2006-s2,A,1,Round 1,7,P0488,P0274,,,
2006-s2-A-PO-R1-M8,2006-s2-A,2006-s2,A,1,Round 1,8,P0271,P0478,,,
2006-s2-A-PO-R1-M9,2006-s2-A,2006-s2,A,1,Round 1,9,P0335,P0334,,,
2006-s2-A-PO-R1-M10,2006-s2-A,2006-s2,A,1,Round 1,10,P0053,P0224,,,
2006-s2-A-PO-R1-M11,2006-s2-A,2006-s2,A,1,Round 1,11,P0500,P0243,,,
2006-s2-A-PO-R1-M12,2006-s2-A,2006-s2,A,1,Round 1,12,P0487,P0255,,,
2006-s2-A-PO-R1-M13,2006-s2-A,2006-s2,A,1,Round 1,13,P0140,P0258,,,
2006-s2-A-PO-R1-M14,2006-s2-A,2006-s2,A,1,Round 1,14,P0062,P0197,,,
2006-s2-A-PO-R1-M15,2006-s2-A,2006-s2,A,1,Round 1,15,P0535,P0388,,,
2006-s2-B-PO-R1-M1,2006-s2-B,2006-s2,B,1,Round 1,1,P0429,P0617,,,
2006-s2-B-PO-R1-M2,2006-s2-B,2006-s2,B,1,Round 1,2,P0058,P0502,,,
2006-s2-B-PO-R1-M3,2006-s2-B,2006-s2,B,1,Round 1,3,P0483,P0357,,,
2006-s2-B-PO-R1-M4,2006-s2-B,2006-s2,B,1,Round 1,4,P0206,P0514,,,
2006-s2-B-PO-R1-M5,2006-s2-B,2006-s2,B,1,Round 1,5,P0288,P0457,,,
2006-s2-B-PO-R1-M6,2006-s2-B,2006-s2,B,1,Round 1,6,P0531,P0614,,,
2006-s2-B-PO-R1-M7,2006-s2-B,2006-s2,B,1,Round 1,7,P0289,P0272,,,
2006-s3-A-PO-R1-M1,2006-s3-A,2006-s3,A,1,Round 1,1,P0170,P0378,,,
2006-s3-A-PO-R1-M2,2006-s3-A,2006-s3,A,1,Round 1,2,P0617,P0289,,,
2006-s3-A-PO-R1-M3,2006-s3-A,2006-s3,A,1,Round 1,3,P0161,P0364,,,
2006-s3-A-PO-R1-M4,2006-s3-A,2006-s3,A,1,Round 1,4,P0535,P0186,,,
2006-s3-A-PO-R1-M5,2006-s3-A,2006-s3,A,1,Round 1,5,P0029,P0491,,,
2006-s3-A-PO-R1-M6,2006-s3-A,2006-s3,A,1,Round 1,6,P0318,P0428,,,
2006-s3-A-PO-R1-M7,2006-s3-A,2006-s3,A,1,Round 1,7,P0430,P0297,,,
2006-s3-A-PO-R1-M8,2006-s3-A,2006-s3,A,1,Round 1,8,P0459,P0018,,,
2006-s3-A-PO-R1-M9,2006-s3-A,2006-s3,A,1,Round 1,9,P0252,P0427,,,
2006-s3-A-PO-R1-M10,2006-s3-A,2006-s3,A,1,Round 1,10,P0276,P0331,,,
2006-s3-A-PO-R1-M11,2006-s3-A,2006-s3,A,1,Round 1,11,P0478,P0261,,,
2006-s3-A-PO-R1-M12,2006-s3-A,2006-s3,A,1,Round 1,12,P0651,P0517,,,
2006-s3-A-PO-R1-M13,2006-s3-A,2006-s3,A,1,Round 1,13,P0324,P0333,,,
2006-s3-A-PO-R1-M14,2006-s3-A,2006-s3,A,1,Round 1,14,P0599,P0545,,,
2006-s3-A-PO-R1-M15,2006-s3-A,2006-s3,A,1,Round 1,15,P0275,P0258,,,
2006-s3-B-PO-R1-M1,2006-s3-B,2006-s3,B,1,Round 1,1,P0196,P0359,,,
2006-s3-B-PO-R1-M2,2006-s3-B,2006-s3,B,1,Round 1,2,P0383,P0214,,,
2006-s3-B-PO-R1-M3,2006-s3-B,2006-s3,B,1,Round 1,3,P0247,P0220,,,
2006-s3-B-PO-R1-M4,2006-s3-B,2006-s3,B,1,Round 1,4,P0281,P0329,,,
2006-s3-B-PO-R1-M5,2006-s3-B,2006-s3,B,1,Round 1,5,P0502,P0353,,,
2006-s3-B-PO-R1-M6,2006-s3-B,2006-s3,B,1,Round 1,6,P0529,P0607,,,
2006-s3-B-PO-R1-M7,2006-s3-B,2006-s3,B,1,Round 1,7,P0209,P0218,,,
2006-s4-A-PO-R1-M1,2006-s4-A,2006-s4,A,1,Round 1,1,P0263,P0209,,,
2006-s4-A-PO-R1-M2,2006-s4-A,2006-s4,A,1,Round 1,2,P0596,P0051,,,
2006-s4-A-PO-R1-M3,2006-s4-A,2006-s4,A,1,Round 1,3,P0247,P0514,,,
2006-s4-A-PO-R1-M4,2006-s4-A,2006-s4,A,1,Round 1,4,P0256,P0166,,,
2006-s4-A-PO-R1-M5,2006-s4-A,2006-s4,A,1,Round 1,5,P0653,P0018,,,
2006-s4-A-PO-R1-M6,2006-s4-A,2006-s4,A,1,Round 1,6,P0029,P0444,,,
2006-s4-A-PO-R1-M7,2006-s4-A,2006-s4,A,1,Round 1,7,P0080,P0319,,,
2006-s4-A-PO-R1-M8,2006-s4-A,2006-s4,A,1,Round 1,8,P0264,P0181,,,
2006-s4-A-PO-R1-M9,2006-s4-A,2006-s4,A,1,Round 1,9,P0638,P0378,,,
2006-s4-A-PO-R1-M10,2006-s4-A,2006-s4,A,1,Round 1,10,P0427,P0030,,,
2006-s4-A-PO-R1-M11,2006-s4-A,2006-s4,A,1,Round 1,11,P0478,P0035,,,
2006-s4-A-PO-R1-M12,2006-s4-A,2006-s4,A,1,Round 1,12,P0179,P0622,,,
2006-s4-A-PO-R1-M13,2006-s4-A,2006-s4,A,1,Round 1,13,P0232,P0407,,,
2006-s4-A-PO-R1-M14,2006-s4-A,2006-s4,A,1,Round 1,14,P0297,P0258,,,
2006-s4-A-PO-R1-M15,2006-s4-A,2006-s4,A,1,Round 1,15,P0324,P0198,,,
2006-s4-A-PO-R1-M16,2006-s4-A,2006-s4,A,1,Round 1,16,P0607,P0161,,,
2006-s4-B-PO-R1-M1,2006-s4-B,2006-s4,B,1,Round 1,1,P0601,P0616,,,
2006-s4-B-PO-R1-M2,2006-s4-B,2006-s4,B,1,Round 1,2,P0009,P0285,,,
2006-s4-B-PO-R1-M3,2006-s4-B,2006-s4,B,1,Round 1,3,P0634,P0359,,,
2006-s4-B-PO-R1-M4,2006-s4-B,2006-s4,B,1,Round 1,4,P0543,P0466,,,
2006-s4-B-PO-R1-M5,2006-s4-B,2006-s4,B,1,Round 1,5,P0524,P0201,,,
2006-s4-B-PO-R1-M6,2006-s4-B,2006-s4,B,1,Round 1,6,P0250,P0556,,,
2006-s4-B-PO-R1-M7,2006-s4-B,2006-s4,B,1,Round 1,7,P0157,P0513,,,
2006-s4-B-PO-R1-M8,2006-s4-B,2006-s4,B,1,Round 1,8,P0221,P0376,,,
2006-s4-B-PO-R1-M9,2006-s4-B,2006-s4,B,1,Round 1,9,P0542,P0527,,,
2006-s4-B-PO-R1-M10,2006-s4-B,2006-s4,B,1,Round 1,10,P0645,P0183,,,
2006-s4-B-PO-R1-M11,2006-s4-B,2006-s4,B,1,Round 1,11,P0401,P0281,,,
2006-s5-A-PO-R1-M1,2006-s5-A,2006-s5,A,1,Round 1,1,P0478,P0237,,,
2006-s5-A-PO-R1-M2,2006-s5-A,2006-s5,A,1,Round 1,2,P0440,P0179,,,
2006-s5-A-PO-R1-M3,2006-s5-A,2006-s5,A,1,Round 1,3,P0227,P0542,,,
2006-s5-A-PO-R1-M4,2006-s5-A,2006-s5,A,1,Round 1,4,P0073,P0653,,,
2006-s5-A-PO-R1-M5,2006-s5-A,2006-s5,A,1,Round 1,5,P0609,P0297,,,
2006-s5-A-PO-R1-M6,2006-s5-A,2006-s5,A,1,Round 1,6,P0553,P0333,,,
2006-s5-A-PO-R1-M7,2006-s5-A,2006-s5,A,1,Round 1,7,P0375,P0257,,,
2006-s5-A-PO-R1-M8,2006-s5-A,2006-s5,A,1,Round 1,8,P0233,P0172,,,
2006-s5-A-PO-R1-M9,2006-s5-A,2006-s5,A,1,Round 1,9,P0242,P0196,,,
2006-s5-A-PO-R1-M10,2006-s5-A,2006-s5,A,1,Round 1,10,P0585,P0622,,,
2006-s5-A-PO-R1-M11,2006-s5-A,2006-s5,A,1,Round 1,11,P0206,P0076,,,
2006-s5-A-PO-R1-M12,2006-s5-A,2006-s5,A,1,Round 1,12,P0060,P0029,,,
2006-s5-A-PO-R1-M13,2006-s5-A,2006-s5,A,1,Round 1,13,P0018,P0250,,,
2006-s5-A-PO-R1-M14,2006-s5-A,2006-s5,A,1,Round 1,14,P0378,P0366,,,
2006-s5-A-PO-R1-M15,2006-s5-A,2006-s5,A,1,Round 1,15,P0030,P0324,,,
2006-s5-A-PO-R1-M16,2006-s5-A,2006-s5,A,1,Round 1,16,P0377,P0295,,,
2006-s5-A-PO-R1-M17,2006-s5-A,2006-s5,A,1,Round 1,17,P0186,P0495,,,
2006-s5-A-PO-R1-M18,2006-s5-A,2006-s5,A,1,Round 1,18,P0430,P0642,,,
2006-s5-A-PO-R1-M19,2006-s5-A,2006-s5,A,1,Round 1,19,P0245,P0140,,,
2006-s5-B-PO-R1-M1,2006-s5-B,2006-s5,B,1,Round 1,1,P0248,P0223,,,
2006-s5-B-PO-R1-M2,2006-s5-B,2006-s5,B,1,Round 1,2,P0350,P0437,,,
2006-s5-B-PO-R1-M3,2006-s5-B,2006-s5,B,1,Round 1,3,P0524,P0470,,,
2006-s5-B-PO-R1-M4,2006-s5-B,2006-s5,B,1,Round 1,4,P0519,P0009,,,
2006-s5-B-PO-R1-M5,2006-s5-B,2006-s5,B,1,Round 1,5,P0217,P0163,,,
2006-s5-B-PO-R1-M6,2006-s5-B,2006-s5,B,1,Round 1,6,P0266,P0475,,,
2006-s5-B-PO-R1-M7,2006-s5-B,2006-s5,B,1,Round 1,7,P0327,P0183,,,
2006-s5-B-PO-R1-M8,2006-s5-B,2006-s5,B,1,Round 1,8,P0361,P0131,,,
2006-s5-B-PO-R1-M9,2006-s5-B,2006-s5,B,1,Round 1,9,P0205,P0580,,,
2006-s5-B-PO-R1-M10,2006-s5-B,2006-s5,B,1,Round 1,10,P0249,,,,
2006-s6-A-PO-R1-M1,2006-s6-A,2006-s6,A,1,Round 1,1,P0478,P0473,,,
2006-s6-A-PO-R1-M2,2006-s6-A,2006-s6,A,1,Round 1,2,P0172,P0600,,,
2006-s6-A-PO-R1-M3,2006-s6-A,2006-s6,A,1,Round 1,3,P0073,P0410,,,
2006-s6-A-PO-R1-M4,2006-s6-A,2006-s6,A,1,Round 1,4,P0422,P0519,,,
2006-s6-A-PO-R1-M5,2006-s6-A,2006-s6,A,1,Round 1,5,P0270,P0485,,,
2006-s6-A-PO-R1-M6,2006-s6-A,2006-s6,A,1,Round 1,6,P0368,P0162,,,
2006-s6-A-PO-R1-M7,2006-s6-A,2006-s6,A,1,Round 1,7,P0029,P0523,,,
2006-s6-A-PO-R1-M8,2006-s6-A,2006-s6,A,1,Round 1,8,P0247,P0224,,,
2006-s6-A-PO-R1-M9,2006-s6-A,2006-s6,A,1,Round 1,9,P0653,P0215,,,
2006-s6-A-PO-R1-M10,2006-s6-A,2006-s6,A,1,Round 1,10,P0196,P0205,,,
2006-s6-A-PO-R1-M11,2006-s6-A,2006-s6,A,1,Round 1,11,P0297,P0642,,,
2006-s6-A-PO-R1-M12,2006-s6-A,2006-s6,A,1,Round 1,12,P0365,P0552,,,
2006-s6-A-PO-R1-M13,2006-s6-A,2006-s6,A,1,Round 1,13,P0477,P0622,,,
2006-s6-A-PO-R1-M14,2006-s6-A,2006-s6,A,1,Round 1,14,P0378,P0206,,,
2006-s6-A-PO-R1-M15,2006-s6-A,2006-s6,A,1,Round 1,15,P0030,P0612,,,
2006-s6-A-PO-R1-M16,2006-s6-A,2006-s6,A,1,Round 1,16,P0474,P0306,,,
2006-s6-B-PO-R1-M1,2006-s6-B,2006-s6,B,1,Round 1,1,P0448,P0574,,,
2006-s6-B-PO-R1-M2,2006-s6-B,2006-s6,B,1,Round 1,2,P0371,P0576,,,
2006-s6-B-PO-R1-M3,2006-s6-B,2006-s6,B,1,Round 1,3,P0437,P0009,,,
2006-s6-B-PO-R1-M4,2006-s6-B,2006-s6,B,1,Round 1,4,P0597,P0464,,,
2006-s6-B-PO-R1-M5,2006-s6-B,2006-s6,B,1,Round 1,5,P0239,P0520,,,
2006-s6-B-PO-R1-M6,2006-s6-B,2006-s6,B,1,Round 1,6,P0126,P0434,,,
2006-s6-B-PO-R1-M7,2006-s6-B,2006-s6,B,1,Round 1,7,P0652,P0299,,,
2006-s6-B-PO-R1-M8,2006-s6-B,2006-s6,B,1,Round 1,8,P0648,P0449,,,
2006-s7-A-PO-R1-M1,2006-s7-A,2006-s7,A,1,Round 1,1,P0653,P0653,,,
2006-s7-A-PO-R1-M2,2006-s7-A,2006-s7,A,1,Round 1,2,P0377,P0380,,,
2006-s7-A-PO-R1-M3,2006-s7-A,2006-s7,A,1,Round 1,3,P0172,P0172,,,
2006-s7-A-PO-R1-M4,2006-s7-A,2006-s7,A,1,Round 1,4,P0204,P0653,,,
2006-s7-A-PO-R1-M5,2006-s7-A,2006-s7,A,1,Round 1,5,P0422,P0422,,,
2006-s7-A-PO-R1-M6,2006-s7-A,2006-s7,A,1,Round 1,6,P0378,P0216,,,
2006-s7-A-PO-R1-M7,2006-s7-A,2006-s7,A,1,Round 1,7,P0297,P0297,,,
2006-s7-A-PO-R1-M8,2006-s7-A,2006-s7,A,1,Round 1,8,P0060,P0609,,,
2006-s7-A-PO-R1-M9,2006-s7-A,2006-s7,A,1,Round 1,9,P0205,P0205,,,
2006-s7-A-PO-R1-M10,2006-s7-A,2006-s7,A,1,Round 1,10,P0622,P0561,,,
2006-s7-A-PO-R1-M11,2006-s7-A,2006-s7,A,1,Round 1,11,P0409,P0213,,,
2006-s7-A-PO-R1-M12,2006-s7-A,2006-s7,A,1,Round 1,12,P0213,P0073,,,
2006-s7-A-PO-R1-M13,2006-s7-A,2006-s7,A,1,Round 1,13,P0440,P0073,,,
2006-s7-A-PO-R1-M14,2006-s7-A,2006-s7,A,1,Round 1,14,P0073,P0210,,,
2006-s7-A-PO-R1-M15,2006-s7-A,2006-s7,A,1,Round 1,15,P0363,P0363,,,
2006-s7-A-PO-R1-M16,2006-s7-A,2006-s7,A,1,Round 1,16,P0427,P0653,,,
2006-s7-A-PO-R1-M17,2006-s7-A,2006-s7,A,1,Round 1,17,P0235,P0235,,,
2006-s7-A-PO-R1-M18,2006-s7-A,2006-s7,A,1,Round 1,18,P0581,P0541,,,
2006-s7-A-PO-R1-M19,2006-s7-A,2006-s7,A,1,Round 1,19,P0278,P0278,,,
2006-s7-A-PO-R1-M20,2006-s7-A,2006-s7,A,1,Round 1,20,P0239,P0235,,,
2006-s7-A-PO-R1-M21,2006-s7-A,2006-s7,A,1,Round 1,21,P0385,P0258,,,
2006-s7-A-PO-R1-M22,2006-s7-A,2006-s7,A,1,Round 1,22,P0140,P0258,,,
2006-s7-A-PO-R1-M23,2006-s7-A,2006-s7,A,1,Round 1,23,P0270,P0270,,,
2006-s7-A-PO-R1-M24,2006-s7-A,2006-s7,A,1,Round 1,24,P0333,P0616,,,
2006-s7-A-PO-R1-M25,2006-s7-A,2006-s7,A,1,Round 1,25,P0493,P0493,,,
2006-s7-A-PO-R1-M26,2006-s7-A,2006-s7,A,1,Round 1,26,P0076,P0186,,,
2006-s7-A-PO-R1-M27,2006-s7-A,2006-s7,A,1,Round 1,27,P0321,P0300,,,
2006-s7-A-PO-R1-M28,2006-s7-A,2006-s7,A,1,Round 1,28,P0300,P0512,,,
2006-s7-A-PO-R1-M29,2006-s7-A,2006-s7,A,1,Round 1,29,P0512,P0512,,,
2006-s7-A-PO-R1-M30,2006-s7-A,2006-s7,A,1,Round 1,30,P0184,P0383,,,
2006-s7-A-PO-R1-M31,2006-s7-A,2006-s7,A,1,Round 1,31,P0247,P0535,,,
2006-s7-B-PO-R1-M1,2006-s7-B,2006-s7,B,1,Round 1,1,P0371,P0344,,,
2006-s7-B-PO-R1-M2,2006-s7-B,2006-s7,B,1,Round 1,2,P0465,P0344,,,
2006-s7-B-PO-R1-M3,2006-s7-B,2006-s7,B,1,Round 1,3,P0307,P0301,,,
2006-s7-B-PO-R1-M4,2006-s7-B,2006-s7,B,1,Round 1,4,P0605,P0550,,,
2006-s7-B-PO-R1-M5,2006-s7-B,2006-s7,B,1,Round 1,5,P0484,P0484,,,
2006-s7-B-PO-R1-M6,2006-s7-B,2006-s7,B,1,Round 1,6,P0538,P0447,,,
2006-s7-B-PO-R1-M7,2006-s7-B,2006-s7,B,1,Round 1,7,P0447,P0009,,,
2006-s7-B-PO-R1-M8,2006-s7-B,2006-s7,B,1,Round 1,8,P0241,P0240,,,
2006-s7-B-PO-R1-M9,2006-s7-B,2006-s7,B,1,Round 1,9,P0240,P0591,,,
2006-s7-B-PO-R1-M10,2006-s7-B,2006-s7,B,1,Round 1,10,P0196,P0217,,,
2006-s7-B-PO-R1-M11,2006-s7-B,2006-s7,B,1,Round 1,11,P0433,P0327,,,
2006-s7-B-PO-R1-M12,2006-s7-B,2006-s7,B,1,Round 1,12,P0442,P0159,,,
2006-s7-B-PO-R1-M13,2006-s7-B,2006-s7,B,1,Round 1,13,P0219,P0302,,,
2006-s7-B-PO-R1-M14,2006-s7-B,2006-s7,B,1,Round 1,14,P0302,P0296,,,
2007-s1-A-PO-R1-M1,2007-s1-A,2007-s1,A,1,Round 1,1,P0853,P0853,,,
2007-s1-A-PO-R1-M2,2007-s1-A,2007-s1,A,1,Round 1,2,P0363,P0007,,,
2007-s1-A-PO-R1-M3,2007-s1-A,2007-s1,A,1,Round 1,3,P0261,P0617,,,
2007-s1-A-PO-R1-M4,2007-s1-A,2007-s1,A,1,Round 1,4,P0076,P0484,,,
2007-s1-A-PO-R1-M5,2007-s1-A,2007-s1,A,1,Round 1,5,P0512,P0493,,,
2007-s1-A-PO-R1-M6,2007-s1-A,2007-s1,A,1,Round 1,6,P0812,P0205,,,
2007-s1-A-PO-R1-M7,2007-s1-A,2007-s1,A,1,Round 1,7,P0430,P0717,,,
2007-s1-A-PO-R1-M8,2007-s1-A,2007-s1,A,1,Round 1,8,P0250,P0385,,,
2007-s1-A-PO-R1-M9,2007-s1-A,2007-s1,A,1,Round 1,9,P0239,P0029,,,
2007-s1-A-PO-R1-M10,2007-s1-A,2007-s1,A,1,Round 1,10,P0029,P0440,,,
2007-s1-A-PO-R1-M11,2007-s1-A,2007-s1,A,1,Round 1,11,P0808,P0897,,,
2007-s1-A-PO-R1-M12,2007-s1-A,2007-s1,A,1,Round 1,12,P0172,P0321,,,
2007-s1-A-PO-R1-M13,2007-s1-A,2007-s1,A,1,Round 1,13,P0411,P0270,,,
2007-s1-A-PO-R1-M14,2007-s1-A,2007-s1,A,1,Round 1,14,P0073,P0333,,,
2007-s1-A-PO-R1-M15,2007-s1-A,2007-s1,A,1,Round 1,15,P0018,P0655,,,
2007-s1-A-PO-R1-M16,2007-s1-A,2007-s1,A,1,Round 1,16,P0939,P0697,,,
2007-s1-B-PO-R1-M1,2007-s1-B,2007-s1,B,1,Round 1,1,P0938,P0938,,,
2007-s1-B-PO-R1-M2,2007-s1-B,2007-s1,B,1,Round 1,2,P0296,P0452,,,
2007-s1-B-PO-R1-M3,2007-s1-B,2007-s1,B,1,Round 1,3,P0467,P0771,,,
2007-s1-B-PO-R1-M4,2007-s1-B,2007-s1,B,1,Round 1,4,P0327,P0485,,,
2007-s1-B-PO-R1-M5,2007-s1-B,2007-s1,B,1,Round 1,5,P0876,P0913,,,
